PROVINCIA,CÓD ESPECIE,ESPECIE,PARÁMETRO,FORMA DE CUBICACIÓN,MODELO,A,B,C,D,P,Q,R,DNM
30,23,Pinus pinea,VCC,2,1,61.62,0.000292,-,-,-,-,-,-
30,23,Pinus pinea,VSC,2,7,-8.07,0.7573,3.64e-05,-,-,-,-,-
30,23,Pinus pinea,IAVC,2,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,23,Pinus pinea,VLE,2,12,-,-,-,-,8e-07,3.04558,-,-
30,23,Pinus pinea,VCC,3,1,16.69,0.000298,-,-,-,-,-,-
30,23,Pinus pinea,VSC,3,7,1.56,0.6122,0.0006846,-,-,-,-,-
30,23,Pinus pinea,IAVC,3,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,23,Pinus pinea,VLE,3,12,-,-,-,-,8e-07,3.04558,-,-
30,23,Pinus pinea,VCC,4,1,64.19,0.000149,-,-,-,-,-,-
30,23,Pinus pinea,VSC,4,7,3.41,0.745,0.0001094,-,-,-,-,-
30,23,Pinus pinea,IAVC,4,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,23,Pinus pinea,VLE,4,12,-,-,-,-,8e-07,3.04558,-,-
30,24,Pinus halepensis,VCC,1,1,41.04,0.0002608,-,-,-,-,-,-
30,24,Pinus halepensis,VSC,1,7,-8.07,0.7573,3.64e-05,-,-,-,-,-
30,24,Pinus halepensis,IAVC,1,21,-,-,8.34e-05,-3.561e-08,-,-,-,-
30,24,Pinus halepensis,VLE,1,12,-,-,-,-3.561e-08,4.53e-05,2.33124,-,-
30,24,Pinus halepensis,VCC,2,1,41.04,0.0002608,-,-3.561e-08,-,-,-,-
30,24,Pinus halepensis,VSC,2,7,-8.07,0.7573,3.64e-05,-3.561e-08,-,-,-,-
30,24,Pinus halepensis,IAVC,2,21,-,-,8.34e-05,-3.561e-08,-,-,-,-
30,24,Pinus halepensis,VLE,2,12,-,-,-,-,4.53e-05,2.33124,-,-
30,24,Pinus halepensis,VCC,3,1,6.23,0.0002965,-,-,-,-,-,-
30,24,Pinus halepensis,VSC,3,7,1.56,0.6122,0.0006846,-,-,-,-,-
30,24,Pinus halepensis,IAVC,3,21,-,-,8.34e-05,-3.561e-08,-,-,-,-
30,24,Pinus halepensis,VLE,3,12,-,-,-,-,4.53e-05,2.33124,-,-
30,24,Pinus halepensis,VCC,5,1,40.91,0.0001892,-,-,-,-,-,-
30,24,Pinus halepensis,VSC,5,7,-3.41,0.745,0.0001094,-,-,-,-,-
30,24,Pinus halepensis,IAVC,5,21,-,-,8.34e-05,-3.561e-08,-,-,-,-
30,24,Pinus halepensis,VLE,5,12,-,-,-,-,4.53e-05,2.33124,-,-
30,25,Pinus nigra,VCC,2,1,2,0.0003773,-,-,-,-,-,-
30,25,Pinus nigra,VSC,2,7,-9.52,0.7381,1.58e-05,-,-,-,-,-
30,25,Pinus nigra,IAVC,2,21,-,-,9.34e-05,-8.421e-08,-,-,-,-
30,25,Pinus nigra,VLE,2,12,-,-,-,-,2.5e-05,2.41169,-,-
30,25,Pinus nigra,VCC,3,1,4.03,0.0003515,-,-,-,-,-,-
30,25,Pinus nigra,VSC,3,7,-1.21,0.6573,-3e-07,-,-,-,-,-
30,25,Pinus nigra,IAVC,3,21,-,-,9.34e-05,-8.421e-08,-,-,-,-
30,25,Pinus nigra,VLE,3,12,-,-,-,-,2.5e-05,2.41169,-,-
30,25,Pinus nigra,VCC,5,1,51.11,0.0002003,-,-,-,-,-,-
30,25,Pinus nigra,VSC,5,7,-13.5,0.8205,-0.0002392,-,-,-,-,-
30,25,Pinus nigra,IAVC,5,21,-,-,9.34e-05,-8.421e-08,-,-,-,-
30,25,Pinus nigra,VLE,5,12,-,-,-,-,2.5e-05,2.41169,-,-
30,26,Pinus pinaster,VCC,1,1,17.76,0.0003432,-,-,-,-,-,-
30,26,Pinus pinaster,VSC,1,7,-5.76,0.6178,8.83e-05,-,-,-,-,-
30,26,Pinus pinaster,VCC,2,1,17.76,0.0003432,-,-,-,-,-,-
30,26,Pinus pinaster,VSC,2,7,-5.76,0.6178,8.83e-05,-,-,-,-,-
30,26,Pinus pinaster,IAVC,2,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,26,Pinus pinaster,VLE,2,12,-,-,-,-,5.64e-05,2.24028,-,-
30,26,Pinus pinaster,VCC,3,1,4.85,0.0003777,-,-,-,-,-,-
30,26,Pinus pinaster,VSC,3,7,-1.25,0.6534,-0.000945,-,-,-,-,-
30,26,Pinus pinaster,IAVC,3,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,26,Pinus pinaster,VLE,3,12,-,-,-,-,5.64e-05,2.24028,-,-
30,26,Pinus pinaster,VCC,5,1,38.49,0.0002082,-,-,-,-,-,-
30,26,Pinus pinaster,VSC,5,7,2.37,0.5288,0.0005114,-,-,-,-,-
30,26,Pinus pinaster,IAVC,5,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,26,Pinus pinaster,VLE,5,12,-,-,-,-,5.64e-05,2.24028,-,-
30,36,Cupressus sempervirens,VCC,2,1,29.62,0.000247,-,-,-,-,-,-
30,36,Cupressus sempervirens,VSC,2,7,-4.59,0.7548,3.43e-05,-,-,-,-,-
30,36,Cupressus sempervirens,IAVC,2,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,36,Cupressus sempervirens,VLE,2,12,-,-,-,-,5.64e-05,2.24028,-,-
30,36,Cupressus sempervirens,VCC,3,1,29.62,0.000247,-,-,-,-,-,-
30,36,Cupressus sempervirens,VSC,3,7,-4.59,0.7548,3.43e-05,-,-,-,-,-
30,36,Cupressus sempervirens,IAVC,3,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,36,Cupressus sempervirens,VLE,3,12,-,-,-,-,5.64e-05,2.24028,-,-
30,38,Juniperus thurifera,VCC,2,11,-,-,-,-,0.0028903,1.71624,0.70819,-
30,38,Juniperus thurifera,VSC,2,7,-7.28,0.8910046,1.53e-05,-,-,-,-,-
30,38,Juniperus thurifera,IAVC,2,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,38,Juniperus thurifera,VLE,2,12,-,-,-,-,2.49e-05,2.44751,-,-
30,38,Juniperus thurifera,VCC,3,11,-,-,-,-,0.0028903,1.71624,0.70819,-
30,38,Juniperus thurifera,VSC,3,7,-7.28,0.8910046,1.53e-05,-,-,-,-,-
30,38,Juniperus thurifera,IAVC,3,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,38,Juniperus thurifera,VLE,3,12,-,-,-,-,2.49e-05,2.44751,-,-
30,38,Juniperus thurifera,VCC,5,11,-,-,-,-,0.0028903,1.71624,0.70819,-
30,38,Juniperus thurifera,VSC,5,7,-7.28,0.8910046,1.53e-05,-,-,-,-,-
30,38,Juniperus thurifera,IAVC,5,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,38,Juniperus thurifera,VLE,5,12,-,-,-,-,2.49e-05,2.44751,-,-
30,39,Juniperus phoenicea,VCC,3,1,46.37,0.0002609,-,-,-,-,-,-
30,39,Juniperus phoenicea,VSC,3,7,-1.55,0.8632,5.63e-05,-,-,-,-,-
30,39,Juniperus phoenicea,IAVC,3,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,39,Juniperus phoenicea,VLE,3,12,-,-,-,-,7.3e-05,2.28991,-,-
30,39,Juniperus phoenicea,VCC,5,1,46.37,0.0002609,-,-,-,-,-,-
30,39,Juniperus phoenicea,VSC,5,7,-1.55,0.8632,5.63e-05,-,-,-,-,-
30,39,Juniperus phoenicea,IAVC,5,19,3.01065,-0.0436844,0.0002718,-2e-07,-,-,-,-
30,39,Juniperus phoenicea,VLE,5,12,-,-,-,-,7.3e-05,2.28991,-,-
30,45,Quercus ilex ssp. ballota,VCC,2,1,9.78,0.0002002,-,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,VSC,2,7,-2.6,0.815,-6.65e-05,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,IAVC,2,21,-,-,3.23e-05,-3.616e-08,-,-,-,-
30,45,Quercus ilex ssp. ballota,VLE,2,12,-,-,-,-,3.19e-05,2.56596,-,-
30,45,Quercus ilex ssp. ballota,VCC,3,1,22.92,0.0002434,-,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,VSC,3,7,2.11,0.6144,0.001347,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,IAVC,3,21,-,-,3.23e-05,-3.616e-08,-,-,-,-
30,45,Quercus ilex ssp. ballota,VLE,3,12,-,-,-,-,3.19e-05,2.56596,-,-
30,45,Quercus ilex ssp. ballota,VCC,4,1,9.78,0.0002002,-,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,VSC,4,7,-2.6,0.815,-6.65e-05,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,IAVC,4,21,-,-,3.23e-05,-3.616e-08,-,-,-,-
30,45,Quercus ilex ssp. ballota,VLE,4,12,-,-,-,-,3.19e-05,2.56596,-,-
30,45,Quercus ilex ssp. ballota,VCC,5,1,22.92,0.0002434,-,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,VSC,5,7,2.11,0.6144,0.001347,-,-,-,-,-
30,45,Quercus ilex ssp. ballota,IAVC,5,21,-,-,3.23e-05,-3.616e-08,-,-,-,-
30,45,Quercus ilex ssp. ballota,VLE,5,12,-,-,-,-,3.19e-05,2.56596,-,-
30,66,Olea europaea,VCC,4,1,13.14,0.000141,-,-,-,-,-,-
30,66,Olea europaea,VSC,4,7,-3.02,0.8503,0.000113,-,-,-,-,-
30,66,Olea europaea,IAVC,4,21,-,-,3.23e-05,-3.616e-08,-,-,-,-
30,66,Olea europaea,VLE,4,12,-,-,-,-,0.0090069,1.42613,-,-
30,66,Olea europaea,VCC,5,1,13.14,0.000141,-,-,-,-,-,-
30,66,Olea europaea,VSC,5,7,-3.02,0.8503,0.000113,-,-,-,-,-
30,66,Olea europaea,IAVC,5,21,-,-,3.23e-05,-3.616e-08,-,-,-,-
30,66,Olea europaea,VLE,5,12,-,-,-,-,0.0090069,1.42613,-,-
